entity,type
Oregon,GPE
five seconds,TIME
the San Francisco Police Department,ORG
Tampico,GPE
yesterday,DATE
ten,CARDINAL
Drop,PERSON
Sudermann,FAC
Booster,PERSON
Borogrove,GPE
14,PRODUCT
Android,PRODUCT
Gitchel,PERSON
'89,DATE
Penfield,PERSON
yearninghe,PERSON
the First Law of Kipple,LAW
Friendly,PERSON
Years ago,DATE
Maggie Klugman,PERSON
Love,WORK_OF_ART
Percheron,ORG
the Van Ness Pet Hospital,ORG
Gresham,PERSON
Von,PERSON
Kadalyi-Polokov,GPE
Sidney's Animal & Fowl Catalogue,ORG
fifteen minute,TIME
Five thousand dollars,MONEY
Three,CARDINAL
the St. Francis Hotel,ORG
one,CARDINAL
382,CARDINAL
Miss Luft,PERSON
1894,DATE
Buster Friendly,PERSON
About two,CARDINAL
a month,DATE
two thousand,CARDINAL
Crams,ORG
one half hour,TIME
the Bank of America,ORG
An hour later,TIME
a nice night,TIME
three hours later,TIME
Ach Gott,PERSON
less than,DATE
Lark Avenue,FAC
three or four minutes,TIME
two years,DATE
CHAPTER 22,LAW
Pale,ORG
four,CARDINAL
almost two years,DATE
Wade Cortot,PERSON
seven hundred miles,QUANTITY
Slavic Santa,LOC
six percent,PERCENT
612.4,CARDINAL
One-third,CARDINAL
Luba Luft,ORG
a few minutes,TIME
thousands upon thousands,CARDINAL
Pamina,PERSON
about three minutes,TIME
fifty,CARDINAL
all day,DATE
twenty-three,CARDINAL
fed,ORG
Pentagon,ORG
mitteleuropaische,ORG
Canada,GPE
Mexico,GPE
the coming month,DATE
VoigtKampff,ORG
Voigt-Kampff,WORK_OF_ART
Picasso,WORK_OF_ART
eighteen,DATE
the next half hour,TIME
Cora Mercer,PERSON
Pamina,GPE
no more than two yards,MONEY
Frank Merriwell,PERSON
Isidore,WORK_OF_ART
Ann Marsten,PERSON
English,LANGUAGE
Lisa Della Casa,PERSON
Mercerite,PERSON
All day,DATE
Ashen,GPE
Horst Hartman,PERSON
Pris,ORG
Half an hour,TIME
Currier,ORG
fifth,ORDINAL
early in the morning,TIME
Russia,GPE
Santa Claus,PERSON
one foot,QUANTITY
Mars,LOC
Mercerite,NORP
Stratton,PERSON
that years ago,DATE
his years,DATE
Kadalyi,PERSON
Baty,WORK_OF_ART
One,CARDINAL
less than a year old,DATE
only one,CARDINAL
two-inch,QUANTITY
Euphemia,ORG
Ann,PERSON
Mongolian,NORP
U.S.A. Mongoose,ORG
February,DATE
three years ago,DATE
Scrappy,PRODUCT
Luba Luft,PERSON
Seven,CARDINAL
about one,CARDINAL
J.R.,PERSON
working extra hours,TIME
Garland,ORG
the few years,DATE
Roy Baty,WORK_OF_ART
Jesus,PERSON
Groucho,PERSON
fifty-cent,MONEY
only two,CARDINAL
sixth,ORDINAL
Luft,GPE
Rosen,NORP
forty-eight,CARDINAL
CHAPTER 17,LAW
several decades ago,DATE
Washington,GPE
First,ORDINAL
Ackers,PERSON
Voigt-KampfF,EVENT
many years,DATE
Rick Deckard,PERSON
month,DATE
Vaughn Williams,PERSON
Dimly,WORK_OF_ART
Chronicle,PERSON
the Batys and Stratton,ORG
Manx,PERSON
888,CARDINAL
a few yards,QUANTITY
Wespe,ORG
Phil Resch-I,PERSON
J. R. Isidore's,ORG
Evening,TIME
Van Ness Pet Hospital's,ORG
Boneli Reflex-Arc Test,PERSON
John Donne,PERSON
the State Animal Husbandry Board,ORG
The Magic Flute,WORK_OF_ART
Voigt,PERSON
Rachael Rosen,PERSON
California,GPE
android,ORG
eight years ago,DATE
-too,CARDINAL
the Western Hemisphere,LOC
the Undeteriorated Schizophrenic,ORG
Moscovy,PERSON
the day ahead,DATE
a couple of minutes,TIME
Eldon,PERSON
toward noon,TIME
every morning,TIME
first,ORDINAL
Ten minutes later,TIME
two billion years,DATE
Roy Baty's,PERSON
thirty-month,DATE
weeks,DATE
earlier in the day,DATE
New America,LOC
Garland,PERSON
Irmgard,ORG
Elisabeth Schwarzkopf,PERSON
some morning,TIME
ninety days,DATE
Josef Strauss,PERSON
U.N.,ORG
Harry,PERSON
McMillan Y-4,PERSON
Bryant,ORG
T-14,PRODUCT
Cleveland,GPE
Garland,GPE
one month,DATE
Wild,PERSON
about an hour,TIME
John R. Isidore,PERSON
Harry Bryant's,PERSON
CHAPTER 5,LAW
the Grozzi Corporation's,ORG
Wespe,PERSON
Hannibal Sloat's,ORG
two,CARDINAL
Tonight,WORK_OF_ART
a thousand,CARDINAL
respiringperspiring?-for,ORG
Popageno,PERSON
9,CARDINAL
another week,DATE
Munch,GPE
ten-year,DATE
twenty-five bucks,MONEY
one-half,CARDINAL
Rich,PERSON
the Bay Area,LOC
Oscar Scruggs,PERSON
Buster's,ORG
the January Sidney's,ORG
six-hour,TIME
two weeks',DATE
Goodby,PERSON
androids,NORP
The Rosen Associaion,ORG
Thirty thousand dollars,MONEY
Wyoming,GPE
Sloat,ORG
Ho ho,PERSON
Derain Associates,ORG
a few seconds,TIME
the East Coast,LOC
over a year,DATE
Phone,ORG
Judy,PERSON
W.W.T.,PRODUCT
the United States,GPE
Kadalyi-Polokov,PERSON
Uncle Eldon,WORK_OF_ART
Ed,PERSON
Geary,GPE
Bryant,PERSON
Shakespeare,PERSON
Irmgard,GPE
CHAPTER 11,LAW
104,PRODUCT
afternoon,TIME
just a few minutes ago,TIME
bull,PERSON
1990,DATE
Funny,PERSON
the War Memorial Opera House,ORG
this minute,TIME
ten percent,PERCENT
the day,DATE
Nine-thirty,CARDINAL
Mozart,PERSON
Lurie Kampff,PERSON
Buster Friendly,WORK_OF_ART
594,CARDINAL
AnIQ,ORG
CHAPTER 15,LAW
Merriwell,PERSON
481,CARDINAL
second,ORDINAL
New England,LOC
Graveson,PERSON
gore,PERSON
Rachael Rosens,PERSON
modem,ORG
Rachael Rosen-Rachael,PERSON
CHAPTER 21,LAW
the early days,DATE
A thousand dollars,MONEY
one morning,TIME
George Gleason,PERSON
the next few hours,TIME
Le Nozze,ORG
Titus Corning,PERSON
Sandor Kadalyi,PERSON
a few minutes later,TIME
the Voigt Empathy Test,WORK_OF_ART
another three days,DATE
meek,PERSON
Germany,GPE
Conapt Building 3967-C,ORG
about nine-thirty,CARDINAL
Chicago,GPE
Slavic,NORP
CHAPTER 18,LAW
fourteen,CARDINAL
Jarry,PERSON
The Mission Street Hall of Justice,ORG
Luba Luft's,PERSON
Bufonidae,ORG
406.7,CARDINAL
ten months,DATE
another year,DATE
Proxima,GPE
the next few minutes,TIME
the Synthetic Freedom Fighter,ORG
Mark,PERSON
Deckard,ORG
Irmgard Baty's,ORG
the San Francisco Opera Company,ORG
the Buster Friendly Show,ORG
San Francisco,GPE
forty-six hours,TIME
the next hour,TIME
Sloat,LOC
the Hall of Justice on Lombard,FAC
Harry Bryant,PERSON
Miss Marsten,WORK_OF_ART
W-4,PERSON
Cro-Magnon,ORG
The Buster Friendly Show,ORG
Ripple,PRODUCT
the San Francisco Hall of Justice on Lombard Street,FAC
Good day,DATE
Resch,ORG
eighteen years,DATE
years ago,DATE
August of 1991,DATE
six,CARDINAL
Phil,PERSON
CHAPTER,ORG
a long day,DATE
Twenty-eight,DATE
Luba Luft I,WORK_OF_ART
Iz,PERSON
W.P.O.,ORG
Purcell,PERSON
Suspends,PERSON
Sidney,ORG
Annoyed,PERSON
Wilbur Mercer,PERSON
the additional one hour,TIME
CHAPTER 1,LAW
an hour and a half,TIME
buff,PERSON
Luba Luft,WORK_OF_ART
Keerist,PERSON
year,DATE
English,NORP
CHAPTER 12,LAW
a hundred miles,QUANTITY
American,NORP
J. R. Isidore,ORG
ten days,DATE
mid-fifties,DATE
W.P.O. Ever,ORG
the last three days,DATE
Luft,PERSON
the early morning,TIME
One day,DATE
thirty minutes,TIME
"January 3, 1992",DATE
Colorado,GPE
only four,CARDINAL
Egyptian,NORP
Two,CARDINAL
Dave,PERSON
'You got Polokov,WORK_OF_ART
a minute,TIME
Iran,GPE
' Luba Luft,WORK_OF_ART
About a year ago,DATE
last night's,TIME
a hundred,CARDINAL
the Bataan Death March,FAC
Nob Hill,LOC
Iran Deckard,ORG
the end of the day,DATE
Suffolk,GPE
Deckard,PERSON
World War Terminus,EVENT
East,LOC
today,DATE
3,CARDINAL
day,DATE
Today,DATE
DNS,ORG
all the years,DATE
Eight,CARDINAL
the night,TIME
Donna Anna,PERSON
all his years,DATE
one afternoon,TIME
Klugman,PERSON
Pris,PERSON
304,CARDINAL
Officer Crams,ORG
Resch,PERSON
Leningrad,GPE
a few more minutes,TIME
the halcyon days,DATE
morning,TIME
Hannibal,PERSON
San Francisco's,GPE
fifty-two,CARDINAL
that morning,TIME
Han,NORP
Resch,NORP
Kleenex,PRODUCT
Irmgard Baty,ORG
just last year,DATE
the West Coast,LOC
Sidney,PERSON
Jurassic,GPE
an entire day,DATE
Buster Friendly on TV,ORG
One hundred percent,PERCENT
Nexus,ORG
Barbour,GPE
the pre-Civil War Southern,ORG
J. R. Isidore,PERSON
daytime,TIME
Tonight,TIME
ya,PERSON
Rick,PERSON
Chablis,ORG
CHAPTER 19,LAW
Frank,PERSON
4.0,CARDINAL
ten minutes,TIME
the Antarctic Circle,LOC
Papageno,GPE
Siddons,PERSON
1,CARDINAL
the Bay Area Scavengers Company,LOC
"""Institute of Special Trade Skills of America",ORG
The Rosen Association,ORG
Earl Parameter,ORG
New New York,GPE
Max Polokov,PERSON
mug,PERSON
Horst,PERSON
The Leningrad,WORK_OF_ART
Rachael Rosen's,PERSON
his sixteenth year,DATE
seven,CARDINAL
the olden days,DATE
this evening,TIME
McRae,PERSON
Voigt-Kampff Empathy Test,ORG
ten thousand years,DATE
Daly City,GPE
the years,DATE
Persian,NORP
Mercer,PERSON
Oakes,PERSON
Seattle,GPE
late tonight,TIME
Phil Resch's,PERSON
Philippines,GPE
Amanda,ORG
a bad day,DATE
Northern California,LOC
Munch,NORP
eighth,ORDINAL
the St. Francis,FAC
Hannibal Sloat,PERSON
a few weeks ago,DATE
Hasking,PERSON
two and a half,DATE
Pris Stratton,ORG
Miss Rosen,PERSON
The Bay Area Scavengers Company,LOC
Curry,PERSON
over a thousand,CARDINAL
Lotte Lehmann,PERSON
last night,TIME
Eldon Rosen,PERSON
Nexus-6s,LANGUAGE
Horace,PERSON
fourth,ORDINAL
Roy,PERSON
A few minutes later,TIME
eight,CARDINAL
a thousand dollars,MONEY
the Hall of Justice,FAC
Mongoose,ORG
Bill,PERSON
Celtic,ORG
Russian,NORP
two trillion,CARDINAL
Rachael,PERSON
a million years,DATE
a quarter,CARDINAL
four years ago,DATE
Rachel,PERSON
Amanda Werner,PERSON
Hall of Justice,ORG
half an hour ago,TIME
Walton,PERSON
five thousand dollars,MONEY
Eastern,ORG
Dave Holden's,PERSON
Fisherman's,PRODUCT
Buster Friendly,ORG
half an hour,TIME
Crawling,GPE
eleven,CARDINAL
Sidney's Animal & Fowl,ORG
the Hall of Justice,ORG
Call Inspector Bryant,WORK_OF_ART
as much as,MONEY
two years ago,DATE
Muhe,PERSON
2.8,CARDINAL
Holden,ORG
Pris Stratton,PERSON
the Sol System,PERSON
the Soviet Union,GPE
a couple of years,DATE
millions of dollars,MONEY
the S. F. Police Department,ORG
Latin,NORP
the year,DATE
Zip click zip!,PERSON
that evening,TIME
yestooday,DATE
Rosens,PERSON
Pilsen,PERSON
Sloat,PERSON
Milt,PERSON
this morning,TIME
three,CARDINAL
January,DATE
Dave Holden,PERSON
Salander,PERSON
Rosens,GPE
Voigt-Kampff,ORG
U.S.,GPE
Four,CARDINAL
manila envelope,PERSON
Happy Dog Pet Shop,WORK_OF_ART
Kampff,ORG
Isidore,ORG
years,DATE
some minute,TIME
A million,CARDINAL
John Isidore-now,PERSON
a few days,DATE
Vandyke,ORG
Roy Baty,FAC
Italian,NORP
Holden,PERSON
CHAPTER 3,LAW
vita incerta,PERSON
670,CARDINAL
the St. Francis,LOC
Barbour,ORG
a couple of days,DATE
Nubian,NORP
John Isidore,PERSON
Rosen,ORG
War Memorial Opera House,ORG
Johnson Snuff,PERSON
Schwarzkopf,ORG
Nubian,GPE
the Bay.,LOC
earlier today,TIME
Buster,PERSON
Milt Borogrove,PERSON
French,NORP
Hitler,PERSON
Mann,PERSON
late-afternoon,TIME
ten million,CARDINAL
Roy Baty,ORG
nine,CARDINAL
Franklin Powers,PERSON
Ajax,PERSON
vid,PERSON
Buster Friendly's,ORG
Isidore,PERSON
the last billion years,DATE
Cortot,ORG
Irmgard Baty's,WORK_OF_ART
Aloud,PERSON
Interspace Horizons Day,ORG
Earth,LOC
Harrv Bryant,PERSON
Polokov,PERSON
thousands,CARDINAL
the past weeks,DATE
a full minute,TIME
Polokovbetter,PERSON
Rachel Rosen's,PERSON
Baty,PERSON
Salander 3,PERSON
Soviet,NORP
this day,DATE
Lombard Street,ORG
Wheelright & Carpenter,ORG
Boneli,NORP
the old days,DATE
Mount Zion Hospital,FAC
Marsten,PERSON
Kadalyi,GPE
about a year ago,DATE
Phil Resch,PERSON
Barbour,PERSON
half,CARDINAL
CHAPTER 7,LAW
months,DATE
nine-thirty,CARDINAL
hours a day,DATE
Baty,GPE
Greta Garbo,PERSON
Rosen,PERSON
an entire year,DATE
Al Jarry,PERSON
Aeroflot,ORG
l-l,GPE
East Harmony,GPE
one day,DATE
Roy Baty,PERSON
Six today,TIME
Gar,PERSON
three years,DATE
Indiana,GPE
Hannibal S-s-sloat,PERSON
Hannibal Sloat,FAC
Groucho,GPE
Mercerian,NORP
The Van Ness Pet Hospital,WORK_OF_ART
Bill Barbour,PERSON
Ed Smith,PERSON
Costa,PERSON
thirty-six months,DATE
However-,PERSON
Glöckchen,PERSON
the next morning,TIME
CHAPTER 13,LAW
Less than an hour,TIME
the Rand Corporation,ORG
the Pavlov Institute,ORG
DOOR,ORG
Terran,ORG
Hollywood,GPE
twenty-five,CARDINAL
the Rosen Association Building,ORG
Ives,NORP
Tenderloin,NORP
Werner,PERSON
Miss Wild,PERSON
fourteen,DATE
Dive Holden's,PERSON
ten hours,TIME
Something I heard today,WORK_OF_ART
five hundred dollars,MONEY
Phil Resch-,PERSON
Hannibal Sloat,ORG
third,ORDINAL
Sutter Street,FAC
Skoda,GPE
W.W.T.,ORG
Irmgard Baty,PERSON
Budweiser,ORG
night,TIME
five,CARDINAL
the first thousand dollars,MONEY
last week,DATE
tonight,TIME
German,NORP
tomorrow,DATE
Luba,GPE
Friendly Friends,WORK_OF_ART
andy alike,PERSON
android-Rick Deckard,ORG
Mount Zion Hospital,WORK_OF_ART
Don Giovanni,PERSON
Penfield,ORG
more than five,CARDINAL
CHAPTER 8,LAW
about the days,DATE
Venus,ORG
Fred Washborne,PERSON
only ten hours ',TIME
three thousand dollars,MONEY
the Rosen Association,ORG
monthly,DATE
More than one,CARDINAL
Puberty,PERSON
Nexus-6s,NORP
the Rosen Association's,ORG
CHAPTER 2,LAW
The Hall of justice,WORK_OF_ART
daily,DATE
Six,CARDINAL
two whole days,DATE
hundreds,CARDINAL
